word,length,type,hsk_levels,appears_in_multiple_levels
不幸,2,compound,5,no
不得不,3,compound,3,no
不得了,3,compound,5,no
不得已,3,compound,7,no
不得而知,4,compound,7,no
不必,2,compound,3,no
不怎么,3,compound,6,no
不怎么样,4,compound,6,no
不惜,2,compound,7,no
不慎,2,compound,7,no
不懈,2,compound,7,no
不成,2,compound,6,no
不敢当,3,compound,5,no
不料,2,compound,6,no
不断,2,compound,3,no
不时,2,compound,5,no
不易,2,compound,5,no
不景气,3,compound,7,no
不曾,2,compound,5,no
不服,2,compound,7,no
不服气,3,compound,7,no
不止,2,compound,5,no
不正之风,4,compound,7,no
不满,2,compound,2,no
不然,2,compound,4,no
不理,2,compound,7,no
不用,2,compound,1,no
不用说,3,compound,7,no
不由得,3,compound,7,no
不由自主,4,compound,7,no
不相上下,4,compound,7,no
不知,2,compound,7,no
不知不觉,4,compound,7,no
不禁,2,compound,6,no
不算,2,compound,7,no
不管,2,compound,4,no
不约而同,4,compound,7,no
不经意,3,compound,7,no
不翼而飞,4,compound,7,no
不耐烦,3,compound,5,no
不耻下问,4,compound,7,no
不肯,2,compound,7,no
不能不,3,compound,5,no
不至于,3,compound,6,no
不良,2,compound,5,no
不行,2,compound,2,no
不要,2,compound,2,no
不要紧,3,compound,4,no
不见,2,compound,6,no
不见得,3,compound,7,no
不解,2,compound,7,no
不许,2,compound,5,no
不论,2,compound,3,no
不起眼,3,compound,7,no
不足,2,compound,5,no
不辞而别,4,compound,7,no
不过,2,compound,2,no
不适,2,compound,7,no
不通,2,compound,6,no
不错,2,compound,2,no
不难,2,compound,7,no
不顾,2,compound,5,no
与,1,single,6,no
与众不同,4,compound,7,no
与其,2,compound,7,no
与否,2,compound,7,no
与日俱增,4,compound,7,no
与时俱进,4,compound,7,no
与此同时,4,compound,7,no
丑,1,single,5,no
丑恶,2,compound,7,no
丑闻,2,compound,7,no
丑陋,2,compound,7,no
专业,2,compound,3,no
专人,2,compound,7,no
专利,2,compound,5,no
专制,2,compound,7,no
专卖店,3,compound,7,no
专家,2,compound,3,no
专心,2,compound,4,no
专柜,2,compound,7,no
专栏,2,compound,7,no
专注,2,compound,7,no
专用,2,compound,6,no
专程,2,compound,7,no
专职,2,compound,7,no
专著,2,compound,7,no
专辑,2,compound,5,no
专长,2,compound,7,no
专门,2,compound,3,no
专题,2,compound,3,no
且,1,single,7,no
世代,2,compound,7,no
世故,2,compound,7,no
世界,2,compound,3,no
世界杯,3,compound,3,no
世界级,3,compound,7,no
世纪,2,compound,3,no
世袭,2,compound,7,no
丘陵,2,compound,7,no
丙,1,single,7,no
业,1,single,7,no
业余,2,compound,4,no
业务,2,compound,5,no
业绩,2,compound,7,no
丛林,2,compound,7,no
东,1,single,1,no
东北,2,compound,2,no
东南,2,compound,2,no
东奔西走,4,compound,7,no
东张西望,4,compound,7,no
东方,2,compound,2,no
东西,2,compound,1,no
东边,2,compound,1,no
东道主,3,compound,7,no
东部,2,compound,3,no
丝,1,single,7,no
丝毫,2,compound,7,no
丝绸,2,compound,7,no
丢,1,single,5,no
丢人,2,compound,7,no
丢失,2,compound,7,no
丢弃,2,compound,7,no
丢掉,2,compound,7,no
丢脸,2,compound,7,no
两,1,single,1,no
两侧,2,compound,6,no
两口子,3,compound,7,no
两岸,2,compound,5,no
两手,2,compound,6,no
两栖,2,compound,7,no
两边,2,compound,4,no
严,1,single,4,no
严厉,2,compound,5,no
严密,2,compound,7,no
严峻,2,compound,7,no
严格,2,compound,4,no
严禁,2,compound,7,no
严肃,2,compound,5,no
严谨,2,compound,7,no
严重,2,compound,4,no
丧失,2,compound,6,no
丧生,2,compound,7,no
个,1,single,1,no
个人,2,compound,3,no
个体,2,compound,4,no
个儿,2,compound,5,no
个别,2,compound,4,no
个头儿,3,compound,7,no
个子,2,compound,2,no
个性,2,compound,3,no
个案,2,compound,7,no
丫头,2,compound,7,no
中,1,single,1,no
中介,2,compound,4,no
中医,2,compound,2,no
中午,2,compound,1,no
中华,2,compound,6,no
中华民族,4,compound,3,no
中国,2,compound,1,no
中国画,3,compound,7,no
中型,2,compound,7,no
中外,2,compound,6,no
中央,2,compound,5,no
中奖,2,compound,4,no
中学,2,compound,1,no
中学生,3,compound,1,no
中小学,3,compound,2,no
中年,2,compound,2,no
中庸,2,compound,7,no
中心,2,compound,2,no
中性,2,compound,7,no
中文,2,compound,1,no
中断,2,compound,5,no
中旬,2,compound,7,no
中期,2,compound,6,no
中止,2,compound,7,no
中毒,2,compound,5,no
中秋节,3,compound,5,no
中立,2,compound,7,no
中等,2,compound,6,no
中级,2,compound,2,no
中药,2,compound,5,no
中途,2,compound,7,no
中部,2,compound,3,no
中间,2,compound,1,no
中餐,2,compound,2,no
丰厚,2,compound,7,no
丰富,2,compound,3,no
丰富多彩,4,compound,7,no
丰收,2,compound,5,no
丰满,2,compound,7,no
丰盛,2,compound,7,no
丰硕,2,compound,7,no
串,1,single,6,no
串门,2,compound,7,no
临,1,single,7,no
临床,2,compound,7,no
临时,2,compound,4,no
临街,2,compound,7,no
临近,2,compound,7,no
丸,1,single,7,no
为,1,single,2,no
为主,2,compound,5,no
为了,2,compound,3,no
为人,2,compound,7,no
为什么,3,compound,2,no
为何,2,compound,6,no
为期,2,compound,5,no
为止,2,compound,5,no
为此,2,compound,6,no
为难,2,compound,5,no
主,1,single,7,no
主义,2,compound,7,no
主人,2,compound,2,no
主人公,3,compound,7,no
主任,2,compound,3,no
主体,2,compound,5,no
主力,2,compound,7,no
主办,2,compound,5,no
主动,2,compound,3,no
主妇,2,compound,7,no
主宰,2,compound,7,no
主导,2,compound,5,no
主席,2,compound,4,no
主张,2,compound,3,no
主意,2,compound,3,no
主持,2,compound,3,no
主持人,3,compound,6,no
主权,2,compound,7,no
主流,2,compound,6,no
主演,2,compound,7,no
主管,2,compound,5,no
主编,2,compound,7,no
主要,2,compound,2,no
主观,2,compound,5,no
主角,2,compound,6,no
主页,2,compound,7,no
主题,2,compound,4,no
主题歌,3,compound,7,no
主食,2,compound,7,no
举,1,single,2,no
举一反三,4,compound,7,no
举世无双,4,compound,7,no
举世瞩目,4,compound,7,no
举世闻名,4,compound,7,no
举例,2,compound,7,no
举办,2,compound,3,no
举动,2,compound,5,no
举手,2,compound,2,no
举报,2,compound,7,no
举措,2,compound,7,no
举止,2,compound,7,no
举行,2,compound,2,no
举重,2,compound,7,no
乃,1,single,7,no
乃至,2,compound,7,no
久,1,single,3,no
久仰,2,compound,7,no
久违,2,compound,7,no
义务,2,compound,4,no
义工,2,compound,7,no
之,1,single,7,no
之一,2,compound,4,no
之下,2,compound,5,no
之中,2,compound,5,no
之内,2,compound,5,no
之前,2,compound,4,no
之后,2,compound,4,no
之外,2,compound,5,no
之所以,3,compound,7,no
之类,2,compound,6,no
之间,2,compound,4,no
乌云,2,compound,6,no
乐,1,single,3,no
乐器,2,compound,7,no
乐园,2,compound,7,no
乐意,2,compound,7,no
乐曲,2,compound,6,no
乐观,2,compound,3,no
乐趣,2,compound,4,no
乐队,2,compound,3,no
乒乓球,3,compound,7,no
乔装,2,compound,7,no
乖,1,single,7,no
乖巧,2,compound,7,no
乘,1,single,5,no
乘人之危,4,compound,7,no
乘坐,2,compound,5,no
乘客,2,compound,5,no
乘车,2,compound,5,no
乙,1,single,5,no
九,1,single,1,no
乞丐,2,compound,7,no
乞求,2,compound,7,no
乞讨,2,compound,7,no
也,1,single,1,no
也好,2,compound,5,no
也就是说,4,compound,7,no
也许,2,compound,2,no
习俗,2,compound,7,no
习惯,2,compound,2,no
乡,1,single,5,no
乡下,2,compound,7,no
乡亲,2,compound,7,no
乡村,2,compound,5,no
书,1,single,1,no
书写,2,compound,7,no
书包,2,compound,1,no
