word,length,type,unique_to_level,also_appears_in_levels,character_count
一,1,single,no,1|2|3|4|5|6,1
一一,2,compound,yes,none,1
一下儿,3,compound,no,1|2|3|4|5|6,3
一下子,3,compound,no,5|6,3
一不小心,4,compound,yes,none,4
一个劲儿,4,compound,yes,none,4
一举,2,compound,yes,none,2
一举一动,4,compound,yes,none,3
一事无成,4,compound,yes,none,4
一些,2,compound,no,1|2|3|4|5|6,2
一代,2,compound,no,6,2
一会儿,3,compound,no,1|2|3|4|5|6,3
一体,2,compound,yes,none,2
一共,2,compound,no,2|3|4|5|6,2
一再,2,compound,no,4|5|6,2
一切,2,compound,no,3|4|5|6,2
一刹那,3,compound,yes,none,3
一动不动,4,compound,yes,none,3
一半,2,compound,no,1|2|3|4|5|6,2
一卡通,3,compound,yes,none,3
一口气,3,compound,no,5|6,3
一句话,3,compound,no,5|6,3
一同,2,compound,no,6,2
一向,2,compound,no,5|6,2
一味,2,compound,yes,none,2
一回事,3,compound,yes,none,3
一块儿,3,compound,no,1|2|3|4|5|6,3
一塌糊涂,4,compound,yes,none,4
一声不吭,4,compound,yes,none,4
一大早,3,compound,yes,none,3
一天到晚,4,compound,yes,none,4
一头,2,compound,yes,none,2
一如既往,4,compound,yes,none,4
一定,2,compound,no,2|3|4|5|6,2
一家人,3,compound,yes,none,3
一帆风顺,4,compound,yes,none,4
一带,2,compound,no,5|6,2
一干二净,4,compound,yes,none,4
一年到头,4,compound,yes,none,4
一应俱全,4,compound,yes,none,4
一度,2,compound,yes,none,2
一律,2,compound,no,4|5|6,2
一心,2,compound,yes,none,2
一心一意,4,compound,yes,none,3
一成不变,4,compound,yes,none,4
一手,2,compound,yes,none,2
一技之长,4,compound,yes,none,4
一把手,3,compound,yes,none,3
一揽子,3,compound,yes,none,3
一方面,3,compound,no,3|4|5|6,3
一旁,2,compound,yes,none,2
一无所有,4,compound,yes,none,4
一无所知,4,compound,yes,none,4
一旦,2,compound,no,5|6,2
一早,2,compound,yes,none,2
一时,2,compound,no,6,2
一晃,2,compound,yes,none,2
一样,2,compound,no,1|2|3|4|5|6,2
一概,2,compound,yes,none,2
一概而论,4,compound,yes,none,4
一模一样,4,compound,no,6,3
一次性,3,compound,no,6,3
一毛不拔,4,compound,yes,none,4
一流,2,compound,no,5|6,2
一点儿,3,compound,no,1|2|3|4|5|6,3
一点点,3,compound,no,2|3|4|5|6,2
一生,2,compound,no,2|3|4|5|6,2
一番,2,compound,no,6,2
一目了然,4,compound,yes,none,4
一直,2,compound,no,2|3|4|5|6,2
一眼,2,compound,yes,none,2
一瞬间,3,compound,yes,none,3
一筹莫展,4,compound,yes,none,4
一系列,3,compound,yes,none,3
一线,2,compound,yes,none,2
一经,2,compound,yes,none,2
一致,2,compound,no,4|5|6,2
一般,2,compound,no,2|3|4|5|6,2
一般来说,4,compound,no,4|5|6,4
一行,2,compound,no,6,2
一言一行,4,compound,yes,none,3
一言不发,4,compound,yes,none,4
一贯,2,compound,no,6,2
一起,2,compound,no,1|2|3|4|5|6,2
一路,2,compound,no,5|6,2
一路上,3,compound,no,6,3
一路平安,4,compound,no,2|3|4|5|6,4
一路顺风,4,compound,no,2|3|4|5|6,4
一身,2,compound,no,5|6,2
一辈子,3,compound,no,5|6,3
一边,2,compound,no,1|2|3|4|5|6,2
一连,2,compound,yes,none,2
一连串,3,compound,yes,none,3
一道,2,compound,no,6,2
一部分,3,compound,no,2|3|4|5|6,3
一锅粥,3,compound,yes,none,3
一长一短,4,compound,yes,none,3
一阵,2,compound,yes,none,2
一面,2,compound,yes,none,2
一鼓作气,4,compound,yes,none,4
一齐,2,compound,no,6,2
丁,1,single,yes,none,1
七,1,single,no,1|2|3|4|5|6,1
七嘴八舌,4,compound,yes,none,4
万,1,single,no,2|3|4|5|6,1
万一,2,compound,no,4|5|6,2
万万,2,compound,yes,none,1
万分,2,compound,yes,none,2
万古长青,4,compound,yes,none,4
万无一失,4,compound,yes,none,4
万能,2,compound,yes,none,2
丈夫,2,compound,no,4|5|6,2
三,1,single,no,1|2|3|4|5|6,1
三明治,3,compound,no,6,3
三番五次,4,compound,yes,none,4
三维,2,compound,yes,none,2
三角,2,compound,yes,none,2
上,1,single,no,1|2|3|4|5|6,1
上下,2,compound,no,5|6,2
上个月,3,compound,no,4|5|6,3
上任,2,compound,yes,none,2
上升,2,compound,no,3|4|5|6,2
上午,2,compound,no,1|2|3|4|5|6,2
上去,2,compound,no,3|4|5|6,2
上台,2,compound,no,6,2
上司,2,compound,yes,none,2
上周,2,compound,no,2|3|4|5|6,2
上场,2,compound,yes,none,2
上头,2,compound,yes,none,2
上学,2,compound,no,1|2|3|4|5|6,2
上岗,2,compound,yes,none,2
上市,2,compound,no,6,2
上帝,2,compound,no,6,2
上当,2,compound,no,6,2
上报,2,compound,yes,none,2
上方,2,compound,yes,none,2
上旬,2,compound,yes,none,2
上映,2,compound,yes,none,2
上期,2,compound,yes,none,2
上来,2,compound,no,3|4|5|6,2
上楼,2,compound,no,4|5|6,2
上次,2,compound,no,1|2|3|4|5|6,2
上流,2,compound,yes,none,2
上涨,2,compound,no,5|6,2
上游,2,compound,yes,none,2
上演,2,compound,no,6,2
上火,2,compound,yes,none,2
上班,2,compound,no,1|2|3|4|5|6,2
