word,length,type,unique_to_level,also_appears_in_levels,character_count
一,1,single,yes,none,1
一下儿,3,compound,yes,none,3
一些,2,compound,yes,none,2
一会儿,3,compound,yes,none,3
一半,2,compound,yes,none,2
一块儿,3,compound,yes,none,3
一样,2,compound,yes,none,2
一点儿,3,compound,yes,none,3
一起,2,compound,yes,none,2
一边,2,compound,yes,none,2
七,1,single,yes,none,1
三,1,single,yes,none,1
上,1,single,yes,none,1
上午,2,compound,yes,none,2
上学,2,compound,yes,none,2
上次,2,compound,yes,none,2
上班,2,compound,yes,none,2
上网,2,compound,yes,none,2
上课,2,compound,yes,none,2
上车,2,compound,yes,none,2
上边,2,compound,yes,none,2
下,1,single,yes,none,1
下午,2,compound,yes,none,2
下次,2,compound,yes,none,2
下班,2,compound,yes,none,2
下课,2,compound,yes,none,2
下车,2,compound,yes,none,2
下边,2,compound,yes,none,2
下雨,2,compound,yes,none,2
不,1,single,yes,none,1
不大,2,compound,yes,none,2
不客气,3,compound,yes,none,3
不对,2,compound,yes,none,2
不用,2,compound,yes,none,2
东,1,single,yes,none,1
东西,2,compound,yes,none,2
东边,2,compound,yes,none,2
两,1,single,yes,none,1
个,1,single,yes,none,1
中,1,single,yes,none,1
中午,2,compound,yes,none,2
中国,2,compound,yes,none,2
中学,2,compound,yes,none,2
中学生,3,compound,yes,none,3
中文,2,compound,yes,none,2
中间,2,compound,yes,none,2
九,1,single,yes,none,1
也,1,single,yes,none,1
书,1,single,yes,none,1
书包,2,compound,yes,none,2
书店,2,compound,yes,none,2
买,1,single,yes,none,1
了,1,single,yes,none,1
事,1,single,yes,none,1
二,1,single,yes,none,1
五,1,single,yes,none,1
人,1,single,yes,none,1
什么,2,compound,yes,none,2
今天,2,compound,yes,none,2
今年,2,compound,yes,none,2
介绍,2,compound,yes,none,2
从,1,single,yes,none,1
他,1,single,yes,none,1
他们,2,compound,yes,none,2
们,1,single,yes,none,1
们,1,single,yes,none,1
休息,2,compound,yes,none,2
会,1,single,yes,none,1
住,1,single,yes,none,1
你,1,single,yes,none,1
你们,2,compound,yes,none,2
做,1,single,yes,none,1
儿子,2,compound,yes,none,2
元,1,single,yes,none,1
先,1,single,yes,none,1
先生,2,compound,yes,none,2
八,1,single,yes,none,1
六,1,single,yes,none,1
关,1,single,yes,none,1
关上,2,compound,yes,none,2
再,1,single,yes,none,1
再见,2,compound,yes,none,2
写,1,single,yes,none,1
冷,1,single,yes,none,1
准备,2,compound,yes,none,2
几,1,single,yes,none,1
出,1,single,yes,none,1
出去,2,compound,yes,none,2
出来,2,compound,yes,none,2
分,1,single,yes,none,1
别,1,single,yes,none,1
别人,2,compound,yes,none,2
别的,2,compound,yes,none,2
到,1,single,yes,none,1
前,1,single,yes,none,1
前天,2,compound,yes,none,2
前边,2,compound,yes,none,2
动,1,single,yes,none,1
动作,2,compound,yes,none,2
包,1,single,yes,none,1
包子,2,compound,yes,none,2
北,1,single,yes,none,1
北京,2,compound,yes,none,2
北边,2,compound,yes,none,2
医生,2,compound,yes,none,2
医院,2,compound,yes,none,2
十,1,single,yes,none,1
午饭,2,compound,yes,none,2
半,1,single,yes,none,1
半天,2,compound,yes,none,2
半年,2,compound,yes,none,2
南,1,single,yes,none,1
南边,2,compound,yes,none,2
去,1,single,yes,none,1
去年,2,compound,yes,none,2
口,1,single,yes,none,1
叫,1,single,yes,none,1
右,1,single,yes,none,1
右边,2,compound,yes,none,2
号,1,single,yes,none,1
吃,1,single,yes,none,1
吃饭,2,compound,yes,none,2
同学,2,compound,yes,none,2
名字,2,compound,yes,none,2
后,1,single,yes,none,1
后天,2,compound,yes,none,2
后边,2,compound,yes,none,2
吗,1,single,yes,none,1
吧,1,single,yes,none,1
听,1,single,yes,none,1
听写,2,compound,yes,none,2
听到,2,compound,yes,none,2
听见,2,compound,yes,none,2
告诉,2,compound,yes,none,2
呢,1,single,yes,none,1
和,1,single,yes,none,1
哥,1,single,yes,none,1
哥哥,2,compound,yes,none,1
哪,1,single,yes,none,1
哪些,2,compound,yes,none,2
哪儿,2,compound,yes,none,2
哪里,2,compound,yes,none,2
唱,1,single,yes,none,1
唱歌,2,compound,yes,none,2
商场,2,compound,yes,none,2
商店,2,compound,yes,none,2
喜欢,2,compound,yes,none,2
喝,1,single,yes,none,1
四,1,single,yes,none,1
回,1,single,yes,none,1
回到,2,compound,yes,none,2
回去,2,compound,yes,none,2
回家,2,compound,yes,none,2
回来,2,compound,yes,none,2
回答,2,compound,yes,none,2
国,1,single,yes,none,1
国外,2,compound,yes,none,2
国家,2,compound,yes,none,2
图书馆,3,compound,yes,none,3
在,1,single,yes,none,1
在家,2,compound,yes,none,2
地,1,single,yes,none,1
地上,2,compound,yes,none,2
地图,2,compound,yes,none,2
地方,2,compound,yes,none,2
地点,2,compound,yes,none,2
坏,1,single,yes,none,1
坐,1,single,yes,none,1
坐下,2,compound,yes,none,2
块,1,single,yes,none,1
外,1,single,yes,none,1
外国,2,compound,yes,none,2
外语,2,compound,yes,none,2
外边,2,compound,yes,none,2
多,1,single,yes,none,1
多少,2,compound,yes,none,2
大,1,single,yes,none,1
大学,2,compound,yes,none,2
大学生,3,compound,yes,none,3
天,1,single,yes,none,1
天气,2,compound,yes,none,2
太,1,single,yes,none,1
女,1,single,yes,none,1
女人,2,compound,yes,none,2
女儿,2,compound,yes,none,2
女孩儿,3,compound,yes,none,3
女朋友,3,compound,yes,none,3
女生,2,compound,yes,none,2
奶,1,single,yes,none,1
奶奶,2,compound,yes,none,1
她,1,single,yes,none,1
她们,2,compound,yes,none,2
好,1,single,yes,none,1
好吃,2,compound,yes,none,2
好听,2,compound,yes,none,2
好玩儿,3,compound,yes,none,3
好看,2,compound,yes,none,2
妈,1,single,yes,none,1
妈妈,2,compound,yes,none,1
妹,1,single,yes,none,1
妹妹,2,compound,yes,none,1
姐,1,single,yes,none,1
姐姐,2,compound,yes,none,1
子,1,single,yes,none,1
子,1,single,yes,none,1
字,1,single,yes,none,1
学,1,single,yes,none,1
学习,2,compound,yes,none,2
学校,2,compound,yes,none,2
学生,2,compound,yes,none,2
学院,2,compound,yes,none,2
孩子,2,compound,yes,none,2
家,1,single,yes,none,1
家人,2,compound,yes,none,2
家里,2,compound,yes,none,2
对,1,single,yes,none,1
对不起,3,compound,yes,none,3
小,1,single,yes,none,1
小姐,2,compound,yes,none,2
小学,2,compound,yes,none,2
小学生,3,compound,yes,none,3
小孩儿,3,compound,yes,none,3
小时,2,compound,yes,none,2
小朋友,3,compound,yes,none,3
少,1,single,yes,none,1
就,1,single,yes,none,1
山,1,single,yes,none,1
岁,1,single,yes,none,1
工人,2,compound,yes,none,2
工作,2,compound,yes,none,2
左,1,single,yes,none,1
左边,2,compound,yes,none,2
差,1,single,yes,none,1
帮,1,single,yes,none,1
帮忙,2,compound,yes,none,2
常,1,single,yes,none,1
常常,2,compound,yes,none,1
干,1,single,yes,none,1
干什么,3,compound,yes,none,3
干净,2,compound,yes,none,2
年,1,single,yes,none,1
床,1,single,yes,none,1
开,1,single,yes,none,1
开会,2,compound,yes,none,2
开玩笑,3,compound,yes,none,3
开车,2,compound,yes,none,2
弟,1,single,yes,none,1
弟弟,2,compound,yes,none,1
很,1,single,yes,none,1
得到,2,compound,yes,none,2
忘,1,single,yes,none,1
忘记,2,compound,yes,none,2
忙,1,single,yes,none,1
快,1,single,yes,none,1
怎么,2,compound,yes,none,2
您,1,single,yes,none,1
想,1,single,yes,none,1
