word,length,type,unique_to_level,also_appears_in_levels,character_count
一切,2,compound,yes,none,2
一方面,3,compound,yes,none,3
上升,2,compound,yes,none,2
上去,2,compound,yes,none,2
上来,2,compound,yes,none,2
上衣,2,compound,yes,none,2
上面,2,compound,yes,none,2
下去,2,compound,yes,none,2
下来,2,compound,yes,none,2
下面,2,compound,yes,none,2
不仅,2,compound,yes,none,2
不光,2,compound,yes,none,2
不安,2,compound,yes,none,2
不得不,3,compound,yes,none,2
不必,2,compound,yes,none,2
不断,2,compound,yes,none,2
不论,2,compound,yes,none,2
专业,2,compound,yes,none,2
专家,2,compound,yes,none,2
专门,2,compound,yes,none,2
专题,2,compound,yes,none,2
世界,2,compound,yes,none,2
世界杯,3,compound,yes,none,3
世纪,2,compound,yes,none,2
东部,2,compound,yes,none,2
个人,2,compound,yes,none,2
个性,2,compound,yes,none,2
中华民族,4,compound,yes,none,4
中部,2,compound,yes,none,2
丰富,2,compound,yes,none,2
为了,2,compound,yes,none,2
主任,2,compound,yes,none,2
主动,2,compound,yes,none,2
主张,2,compound,yes,none,2
主意,2,compound,yes,none,2
主持,2,compound,yes,none,2
举办,2,compound,yes,none,2
久,1,single,yes,none,1
乐,1,single,yes,none,1
乐观,2,compound,yes,none,2
乐队,2,compound,yes,none,2
书架,2,compound,yes,none,2
乱,1,single,yes,none,1
争,1,single,yes,none,1
争取,2,compound,yes,none,2
事业,2,compound,yes,none,2
事件,2,compound,yes,none,2
事实,2,compound,yes,none,2
事实上,3,compound,yes,none,3
事故,2,compound,yes,none,2
互相,2,compound,yes,none,2
互联网,3,compound,yes,none,3
交往,2,compound,yes,none,2
交易,2,compound,yes,none,2
交流,2,compound,yes,none,2
交警,2,compound,yes,none,2
交费,2,compound,yes,none,2
产生,2,compound,yes,none,2
京剧,2,compound,yes,none,2
亲,1,single,yes,none,1
亲人,2,compound,yes,none,2
亲切,2,compound,yes,none,2
亲自,2,compound,yes,none,2
人员,2,compound,yes,none,2
人工,2,compound,yes,none,2
人才,2,compound,yes,none,2
人民,2,compound,yes,none,2
人民币,3,compound,yes,none,3
人生,2,compound,yes,none,2
人类,2,compound,yes,none,2
人群,2,compound,yes,none,2
仅,1,single,yes,none,1
仅仅,2,compound,yes,none,1
仍,1,single,yes,none,1
仍然,2,compound,yes,none,2
从事,2,compound,yes,none,2
从前,2,compound,yes,none,2
从来,2,compound,yes,none,2
付,1,single,yes,none,1
代,1,single,yes,none,1
代表,2,compound,yes,none,2
代表团,3,compound,yes,none,3
以来,2,compound,yes,none,2
价值,2,compound,yes,none,2
价格,2,compound,yes,none,2
