word,length,type,unique_to_level,also_appears_in_levels,character_count
一再,2,compound,yes,none,2
一律,2,compound,yes,none,2
一致,2,compound,yes,none,2
一般来说,4,compound,yes,none,4
万一,2,compound,yes,none,2
丈夫,2,compound,yes,none,2
上个月,3,compound,yes,none,3
上楼,2,compound,yes,none,2
上门,2,compound,yes,none,2
下个月,3,compound,yes,none,3
下楼,2,compound,yes,none,2
下载,2,compound,yes,none,2
下降,2,compound,yes,none,2
不在乎,3,compound,yes,none,3
不然,2,compound,yes,none,2
不管,2,compound,yes,none,2
不要紧,3,compound,yes,none,3
专心,2,compound,yes,none,2
业余,2,compound,yes,none,2
两边,2,compound,yes,none,2
严,1,single,yes,none,1
严格,2,compound,yes,none,2
严重,2,compound,yes,none,2
个体,2,compound,yes,none,2
个别,2,compound,yes,none,2
中介,2,compound,yes,none,2
中奖,2,compound,yes,none,2
临时,2,compound,yes,none,2
主席,2,compound,yes,none,2
主题,2,compound,yes,none,2
义务,2,compound,yes,none,2
之一,2,compound,yes,none,2
之前,2,compound,yes,none,2
之后,2,compound,yes,none,2
之间,2,compound,yes,none,2
乐趣,2,compound,yes,none,2
了不起,3,compound,yes,none,3
了解,2,compound,yes,none,2
争论,2,compound,yes,none,2
事先,2,compound,yes,none,2
事物,2,compound,yes,none,2
二手,2,compound,yes,none,2
于是,2,compound,yes,none,2
五颜六色,4,compound,yes,none,4
亚运会,3,compound,yes,none,3
些,1,single,yes,none,1
交换,2,compound,yes,none,2
交际,2,compound,yes,none,2
产品,2,compound,yes,none,2
亲密,2,compound,yes,none,2
亲爱,2,compound,yes,none,2
人家,2,compound,yes,none,2
从此,2,compound,yes,none,2
付出,2,compound,yes,none,2
代替,2,compound,yes,none,2
以内,2,compound,yes,none,2
以及,2,compound,yes,none,2
企业,2,compound,yes,none,2
优秀,2,compound,yes,none,2
优美,2,compound,yes,none,2
优良,2,compound,yes,none,2
伙,1,single,yes,none,1
伙伴,2,compound,yes,none,2
会计,2,compound,yes,none,2
伞,1,single,yes,none,1
传统,2,compound,yes,none,2
伤害,2,compound,yes,none,2
似乎,2,compound,yes,none,2
似的,2,compound,yes,none,2
位于,2,compound,yes,none,2
位置,2,compound,yes,none,2
体操,2,compound,yes,none,2
体检,2,compound,yes,none,2
体重,2,compound,yes,none,2
作为,2,compound,yes,none,2
作出,2,compound,yes,none,2
使劲,2,compound,yes,none,2
供应,2,compound,yes,none,2
依然,2,compound,yes,none,2
依靠,2,compound,yes,none,2
促使,2,compound,yes,none,2
促进,2,compound,yes,none,2
促销,2,compound,yes,none,2
保守,2,compound,yes,none,2
保密,2,compound,yes,none,2
俩,1,single,yes,none,1
修理,2,compound,yes,none,2
倍,1,single,yes,none,1
倒车,2,compound,yes,none,2
倒闭,2,compound,yes,none,2
假如,2,compound,yes,none,2
做梦,2,compound,yes,none,2
停下,2,compound,yes,none,2
健身,2,compound,yes,none,2
儿童,2,compound,yes,none,2
兄弟,2,compound,yes,none,2
充分,2,compound,yes,none,2
充电,2,compound,yes,none,2
充电器,3,compound,yes,none,3
光临,2,compound,yes,none,2
光盘,2,compound,yes,none,2
免费,2,compound,yes,none,2
公元,2,compound,yes,none,2
共,1,single,yes,none,1
关于,2,compound,yes,none,2
关闭,2,compound,yes,none,2
兴奋,2,compound,yes,none,2
兴趣,2,compound,yes,none,2
兵,1,single,yes,none,1
其余,2,compound,yes,none,2
具备,2,compound,yes,none,2
典型,2,compound,yes,none,2
养成,2,compound,yes,none,2
内科,2,compound,yes,none,2
内部,2,compound,yes,none,2
再三,2,compound,yes,none,2
冬季,2,compound,yes,none,2
冰,1,single,yes,none,1
冰箱,2,compound,yes,none,2
冰雪,2,compound,yes,none,2
冲,1,single,yes,none,1
冷静,2,compound,yes,none,2
准时,2,compound,yes,none,2
减,1,single,yes,none,1
减少,2,compound,yes,none,2
减肥,2,compound,yes,none,2
几乎,2,compound,yes,none,2
出售,2,compound,yes,none,2
出席,2,compound,yes,none,2
出色,2,compound,yes,none,2
分为,2,compound,yes,none,2
分之,2,compound,yes,none,2
分布,2,compound,yes,none,2
分手,2,compound,yes,none,2
分散,2,compound,yes,none,2
切,1,single,yes,none,1
划,1,single,yes,none,1
列,1,single,yes,none,1
列为,2,compound,yes,none,2
列入,2,compound,yes,none,2
列车,2,compound,yes,none,2
利息,2,compound,yes,none,2
利益,2,compound,yes,none,2
制订,2,compound,yes,none,2
刷,1,single,yes,none,1
刷子,2,compound,yes,none,2
刷牙,2,compound,yes,none,2
刺,1,single,yes,none,1
刺激,2,compound,yes,none,2
前头,2,compound,yes,none,2
前途,2,compound,yes,none,2
力气,2,compound,yes,none,2
办事,2,compound,yes,none,2
加入,2,compound,yes,none,2
加油站,3,compound,yes,none,3
加班,2,compound,yes,none,2
动摇,2,compound,yes,none,2
动画片,3,compound,yes,none,3
