word,length,type,unique_to_level,also_appears_in_levels,character_count
一一,2,compound,yes,none,1
一不小心,4,compound,yes,none,4
一个劲儿,4,compound,yes,none,4
一举,2,compound,yes,none,2
一举一动,4,compound,yes,none,3
一事无成,4,compound,yes,none,4
一体,2,compound,yes,none,2
一刹那,3,compound,yes,none,3
一动不动,4,compound,yes,none,3
一卡通,3,compound,yes,none,3
一味,2,compound,yes,none,2
一回事,3,compound,yes,none,3
一塌糊涂,4,compound,yes,none,4
一声不吭,4,compound,yes,none,4
一大早,3,compound,yes,none,3
一天到晚,4,compound,yes,none,4
一头,2,compound,yes,none,2
一如既往,4,compound,yes,none,4
一家人,3,compound,yes,none,3
一帆风顺,4,compound,yes,none,4
一干二净,4,compound,yes,none,4
一年到头,4,compound,yes,none,4
一应俱全,4,compound,yes,none,4
一度,2,compound,yes,none,2
一心,2,compound,yes,none,2
一心一意,4,compound,yes,none,3
一成不变,4,compound,yes,none,4
一手,2,compound,yes,none,2
一技之长,4,compound,yes,none,4
一把手,3,compound,yes,none,3
一揽子,3,compound,yes,none,3
一旁,2,compound,yes,none,2
一无所有,4,compound,yes,none,4
一无所知,4,compound,yes,none,4
一早,2,compound,yes,none,2
一晃,2,compound,yes,none,2
一概,2,compound,yes,none,2
一概而论,4,compound,yes,none,4
一毛不拔,4,compound,yes,none,4
一目了然,4,compound,yes,none,4
一眼,2,compound,yes,none,2
一瞬间,3,compound,yes,none,3
一筹莫展,4,compound,yes,none,4
一系列,3,compound,yes,none,3
一线,2,compound,yes,none,2
一经,2,compound,yes,none,2
一言一行,4,compound,yes,none,3
一言不发,4,compound,yes,none,4
一连,2,compound,yes,none,2
一连串,3,compound,yes,none,3
一锅粥,3,compound,yes,none,3
一长一短,4,compound,yes,none,3
一阵,2,compound,yes,none,2
一面,2,compound,yes,none,2
一鼓作气,4,compound,yes,none,4
丁,1,single,yes,none,1
七嘴八舌,4,compound,yes,none,4
万万,2,compound,yes,none,1
万分,2,compound,yes,none,2
万古长青,4,compound,yes,none,4
万无一失,4,compound,yes,none,4
万能,2,compound,yes,none,2
三番五次,4,compound,yes,none,4
三维,2,compound,yes,none,2
三角,2,compound,yes,none,2
上任,2,compound,yes,none,2
上司,2,compound,yes,none,2
上场,2,compound,yes,none,2
上头,2,compound,yes,none,2
上岗,2,compound,yes,none,2
上报,2,compound,yes,none,2
上方,2,compound,yes,none,2
上旬,2,compound,yes,none,2
上映,2,compound,yes,none,2
上期,2,compound,yes,none,2
上流,2,compound,yes,none,2
上游,2,compound,yes,none,2
上火,2,compound,yes,none,2
上瘾,2,compound,yes,none,2
上空,2,compound,yes,none,2
上诉,2,compound,yes,none,2
上调,2,compound,yes,none,2
上述,2,compound,yes,none,2
上限,2,compound,yes,none,2
下一代,3,compound,yes,none,3
下乡,2,compound,yes,none,2
下令,2,compound,yes,none,2
下决心,3,compound,yes,none,3
下功夫,3,compound,yes,none,3
下台,2,compound,yes,none,2
下场,2,compound,yes,none,2
下坠,2,compound,yes,none,2
下属,2,compound,yes,none,2
下山,2,compound,yes,none,2
下岗,2,compound,yes,none,2
下意识,3,compound,yes,none,3
下手,2,compound,yes,none,2
下旬,2,compound,yes,none,2
下期,2,compound,yes,none,2
下棋,2,compound,yes,none,2
下海,2,compound,yes,none,2
下游,2,compound,yes,none,2
下级,2,compound,yes,none,2
下落,2,compound,yes,none,2
下调,2,compound,yes,none,2
下跌,2,compound,yes,none,2
不为人知,4,compound,yes,none,4
不了了之,4,compound,yes,none,3
不予,2,compound,yes,none,2
不亚于,3,compound,yes,none,3
不亦乐乎,4,compound,yes,none,4
不以为然,4,compound,yes,none,4
不假思索,4,compound,yes,none,4
不像话,3,compound,yes,none,3
不准,2,compound,yes,none,2
不利于,3,compound,yes,none,3
不可思议,4,compound,yes,none,4
不可避免,4,compound,yes,none,4
不同寻常,4,compound,yes,none,4
