word,length,type,unique_to_level,also_appears_in_levels,character_count
一共,2,compound,yes,none,2
一定,2,compound,yes,none,2
一点点,3,compound,yes,none,2
一生,2,compound,yes,none,2
一直,2,compound,yes,none,2
一般,2,compound,yes,none,2
一路平安,4,compound,yes,none,4
一路顺风,4,compound,yes,none,4
一部分,3,compound,yes,none,3
万,1,single,yes,none,1
上周,2,compound,yes,none,2
下周,2,compound,yes,none,2
下雪,2,compound,yes,none,2
不一会儿,4,compound,yes,none,4
不一定,3,compound,yes,none,3
不久,2,compound,yes,none,2
不但,2,compound,yes,none,2
不同,2,compound,yes,none,2
不够,2,compound,yes,none,2
不太,2,compound,yes,none,2
不好意思,4,compound,yes,none,4
不如,2,compound,yes,none,2
不少,2,compound,yes,none,2
不满,2,compound,yes,none,2
不行,2,compound,yes,none,2
不要,2,compound,yes,none,2
不过,2,compound,yes,none,2
不错,2,compound,yes,none,2
东北,2,compound,yes,none,2
东南,2,compound,yes,none,2
东方,2,compound,yes,none,2
个子,2,compound,yes,none,2
中医,2,compound,yes,none,2
中小学,3,compound,yes,none,3
中年,2,compound,yes,none,2
中心,2,compound,yes,none,2
中级,2,compound,yes,none,2
中餐,2,compound,yes,none,2
为,1,single,yes,none,1
为什么,3,compound,yes,none,3
主人,2,compound,yes,none,2
主要,2,compound,yes,none,2
举,1,single,yes,none,1
举手,2,compound,yes,none,2
举行,2,compound,yes,none,2
也许,2,compound,yes,none,2
习惯,2,compound,yes,none,2
事情,2,compound,yes,none,2
云,1,single,yes,none,1
交,1,single,yes,none,1
交朋友,3,compound,yes,none,3
交给,2,compound,yes,none,2
交通,2,compound,yes,none,2
亮,1,single,yes,none,1
人们,2,compound,yes,none,2
人口,2,compound,yes,none,2
人数,2,compound,yes,none,2
亿,1,single,yes,none,1
什么样,3,compound,yes,none,3
今后,2,compound,yes,none,2
从小,2,compound,yes,none,2
以上,2,compound,yes,none,2
以下,2,compound,yes,none,2
以为,2,compound,yes,none,2
以前,2,compound,yes,none,2
以后,2,compound,yes,none,2
