word,length,type,unique_to_level,also_appears_in_levels,character_count
一,1,single,no,1|2|3|4|5|7,1
一下儿,3,compound,no,1|2|3|4|5|7,3
一下子,3,compound,no,5|7,3
一些,2,compound,no,1|2|3|4|5|7,2
一代,2,compound,no,7,2
一会儿,3,compound,no,1|2|3|4|5|7,3
一共,2,compound,no,2|3|4|5|7,2
一再,2,compound,no,4|5|7,2
一切,2,compound,no,3|4|5|7,2
一半,2,compound,no,1|2|3|4|5|7,2
一口气,3,compound,no,5|7,3
一句话,3,compound,no,5|7,3
一同,2,compound,no,7,2
一向,2,compound,no,5|7,2
一块儿,3,compound,no,1|2|3|4|5|7,3
一定,2,compound,no,2|3|4|5|7,2
一带,2,compound,no,5|7,2
一律,2,compound,no,4|5|7,2
一方面,3,compound,no,3|4|5|7,3
一旦,2,compound,no,5|7,2
一时,2,compound,no,7,2
一样,2,compound,no,1|2|3|4|5|7,2
一模一样,4,compound,no,7,3
一次性,3,compound,no,7,3
一流,2,compound,no,5|7,2
一点儿,3,compound,no,1|2|3|4|5|7,3
一点点,3,compound,no,2|3|4|5|7,2
一生,2,compound,no,2|3|4|5|7,2
一番,2,compound,no,7,2
一直,2,compound,no,2|3|4|5|7,2
一致,2,compound,no,4|5|7,2
一般,2,compound,no,2|3|4|5|7,2
一般来说,4,compound,no,4|5|7,4
一行,2,compound,no,7,2
一贯,2,compound,no,7,2
一起,2,compound,no,1|2|3|4|5|7,2
一路,2,compound,no,5|7,2
一路上,3,compound,no,7,3
一路平安,4,compound,no,2|3|4|5|7,4
一路顺风,4,compound,no,2|3|4|5|7,4
一身,2,compound,no,5|7,2
一辈子,3,compound,no,5|7,3
一边,2,compound,no,1|2|3|4|5|7,2
一道,2,compound,no,7,2
一部分,3,compound,no,2|3|4|5|7,3
一齐,2,compound,no,7,2
七,1,single,no,1|2|3|4|5|7,1
万,1,single,no,2|3|4|5|7,1
万一,2,compound,no,4|5|7,2
丈夫,2,compound,no,4|5|7,2
三,1,single,no,1|2|3|4|5|7,1
三明治,3,compound,no,7,3
上,1,single,no,1|2|3|4|5|7,1
上下,2,compound,no,5|7,2
上个月,3,compound,no,4|5|7,3
上升,2,compound,no,3|4|5|7,2
上午,2,compound,no,1|2|3|4|5|7,2
上去,2,compound,no,3|4|5|7,2
上台,2,compound,no,7,2
上周,2,compound,no,2|3|4|5|7,2
上学,2,compound,no,1|2|3|4|5|7,2
上市,2,compound,no,7,2
上帝,2,compound,no,7,2
上当,2,compound,no,7,2
上来,2,compound,no,3|4|5|7,2
上楼,2,compound,no,4|5|7,2
上次,2,compound,no,1|2|3|4|5|7,2
上涨,2,compound,no,5|7,2
上演,2,compound,no,7,2
上班,2,compound,no,1|2|3|4|5|7,2
上班族,3,compound,no,7,3
上级,2,compound,no,5|7,2
上网,2,compound,no,1|2|3|4|5|7,2
上衣,2,compound,no,3|4|5|7,2
上课,2,compound,no,1|2|3|4|5|7,2
上车,2,compound,no,1|2|3|4|5|7,2
上边,2,compound,no,1|2|3|4|5|7,2
上门,2,compound,no,4|5|7,2
上面,2,compound,no,3|4|5|7,2
下,1,single,no,1|2|3|4|5|7,1
下个月,3,compound,no,4|5|7,3
下午,2,compound,no,1|2|3|4|5|7,2
下去,2,compound,no,3|4|5|7,2
下周,2,compound,no,2|3|4|5|7,2
下来,2,compound,no,3|4|5|7,2
下楼,2,compound,no,4|5|7,2
下次,2,compound,no,1|2|3|4|5|7,2
下班,2,compound,no,1|2|3|4|5|7,2
下课,2,compound,no,1|2|3|4|5|7,2
下车,2,compound,no,1|2|3|4|5|7,2
下载,2,compound,no,4|5|7,2
下边,2,compound,no,1|2|3|4|5|7,2
下降,2,compound,no,4|5|7,2
下雨,2,compound,no,1|2|3|4|5|7,2
下雪,2,compound,no,2|3|4|5|7,2
下面,2,compound,no,3|4|5|7,2
不,1,single,no,1|2|3|4|5|7,1
不一会儿,4,compound,no,2|3|4|5|7,4
不一定,3,compound,no,2|3|4|5|7,3
不久,2,compound,no,2|3|4|5|7,2
不仅,2,compound,no,3|4|5|7,2
不仅仅,3,compound,no,7,2
不但,2,compound,no,2|3|4|5|7,2
不便,2,compound,no,7,2
不值,2,compound,no,7,2
不停,2,compound,no,5|7,2
不光,2,compound,no,3|4|5|7,2
不免,2,compound,no,5|7,2
不再,2,compound,no,7,2
不利,2,compound,no,5|7,2
不同,2,compound,no,2|3|4|5|7,2
不在乎,3,compound,no,4|5|7,3
不够,2,compound,no,2|3|4|5|7,2
不大,2,compound,no,1|2|3|4|5|7,2
不太,2,compound,no,2|3|4|5|7,2
不好意思,4,compound,no,2|3|4|5|7,4
不如,2,compound,no,2|3|4|5|7,2
不安,2,compound,no,3|4|5|7,2
不客气,3,compound,no,1|2|3|4|5|7,3
不对,2,compound,no,1|2|3|4|5|7,2
不少,2,compound,no,2|3|4|5|7,2
不幸,2,compound,no,5|7,2
不得不,3,compound,no,3|4|5|7,2
不得了,3,compound,no,5|7,3
不必,2,compound,no,3|4|5|7,2
不怎么,3,compound,no,7,3
不怎么样,4,compound,no,7,4
不成,2,compound,no,7,2
不敢当,3,compound,no,5|7,3
不料,2,compound,no,7,2
不断,2,compound,no,3|4|5|7,2
不时,2,compound,no,5|7,2
不易,2,compound,no,5|7,2
不曾,2,compound,no,5|7,2
不止,2,compound,no,5|7,2
不满,2,compound,no,2|3|4|5|7,2
不然,2,compound,no,4|5|7,2
不用,2,compound,no,1|2|3|4|5|7,2
不禁,2,compound,no,7,2
不管,2,compound,no,4|5|7,2
不耐烦,3,compound,no,5|7,3
不能不,3,compound,no,5|7,2
不至于,3,compound,no,7,3
不良,2,compound,no,5|7,2
不行,2,compound,no,2|3|4|5|7,2
不要,2,compound,no,2|3|4|5|7,2
不要紧,3,compound,no,4|5|7,3
不见,2,compound,no,7,2
不许,2,compound,no,5|7,2
不论,2,compound,no,3|4|5|7,2
不足,2,compound,no,5|7,2
不过,2,compound,no,2|3|4|5|7,2
不通,2,compound,no,7,2
不错,2,compound,no,2|3|4|5|7,2
不顾,2,compound,no,5|7,2
与,1,single,no,7,1
丑,1,single,no,5|7,1
专业,2,compound,no,3|4|5|7,2
专利,2,compound,no,5|7,2
专家,2,compound,no,3|4|5|7,2
专心,2,compound,no,4|5|7,2
专用,2,compound,no,7,2
专辑,2,compound,no,5|7,2
专门,2,compound,no,3|4|5|7,2
专题,2,compound,no,3|4|5|7,2
世界,2,compound,no,3|4|5|7,2
世界杯,3,compound,no,3|4|5|7,3
世纪,2,compound,no,3|4|5|7,2
业余,2,compound,no,4|5|7,2
业务,2,compound,no,5|7,2
东,1,single,no,1|2|3|4|5|7,1
东北,2,compound,no,2|3|4|5|7,2
东南,2,compound,no,2|3|4|5|7,2
东方,2,compound,no,2|3|4|5|7,2
东西,2,compound,no,1|2|3|4|5|7,2
东边,2,compound,no,1|2|3|4|5|7,2
东部,2,compound,no,3|4|5|7,2
丢,1,single,no,5|7,1
两,1,single,no,1|2|3|4|5|7,1
两侧,2,compound,no,7,2
两岸,2,compound,no,5|7,2
两手,2,compound,no,7,2
两边,2,compound,no,4|5|7,2
严,1,single,no,4|5|7,1
严厉,2,compound,no,5|7,2
严格,2,compound,no,4|5|7,2
严肃,2,compound,no,5|7,2
严重,2,compound,no,4|5|7,2
丧失,2,compound,no,7,2
个,1,single,no,1|2|3|4|5|7,1
个人,2,compound,no,3|4|5|7,2
个体,2,compound,no,4|5|7,2
个儿,2,compound,no,5|7,2
个别,2,compound,no,4|5|7,2
个子,2,compound,no,2|3|4|5|7,2
个性,2,compound,no,3|4|5|7,2
中,1,single,no,1|2|3|4|5|7,1
中介,2,compound,no,4|5|7,2
中医,2,compound,no,2|3|4|5|7,2
中午,2,compound,no,1|2|3|4|5|7,2
中华,2,compound,no,7,2
中华民族,4,compound,no,3|4|5|7,4
中国,2,compound,no,1|2|3|4|5|7,2
中外,2,compound,no,7,2
中央,2,compound,no,5|7,2
中奖,2,compound,no,4|5|7,2
中学,2,compound,no,1|2|3|4|5|7,2
中学生,3,compound,no,1|2|3|4|5|7,3
中小学,3,compound,no,2|3|4|5|7,3
中年,2,compound,no,2|3|4|5|7,2
中心,2,compound,no,2|3|4|5|7,2
中文,2,compound,no,1|2|3|4|5|7,2
中断,2,compound,no,5|7,2
中期,2,compound,no,7,2
中毒,2,compound,no,5|7,2
中秋节,3,compound,no,5|7,3
中等,2,compound,no,7,2
中级,2,compound,no,2|3|4|5|7,2
中药,2,compound,no,5|7,2
中部,2,compound,no,3|4|5|7,2
中间,2,compound,no,1|2|3|4|5|7,2
中餐,2,compound,no,2|3|4|5|7,2
丰富,2,compound,no,3|4|5|7,2
丰收,2,compound,no,5|7,2
串,1,single,no,7,1
临时,2,compound,no,4|5|7,2
为,1,single,no,2|3|4|5|7,1
为主,2,compound,no,5|7,2
为了,2,compound,no,3|4|5|7,2
为什么,3,compound,no,2|3|4|5|7,3
为何,2,compound,no,7,2
为期,2,compound,no,5|7,2
为止,2,compound,no,5|7,2
为此,2,compound,no,7,2
为难,2,compound,no,5|7,2
主人,2,compound,no,2|3|4|5|7,2
主任,2,compound,no,3|4|5|7,2
主体,2,compound,no,5|7,2
主办,2,compound,no,5|7,2
主动,2,compound,no,3|4|5|7,2
主导,2,compound,no,5|7,2
主席,2,compound,no,4|5|7,2
主张,2,compound,no,3|4|5|7,2
主意,2,compound,no,3|4|5|7,2
主持,2,compound,no,3|4|5|7,2
主持人,3,compound,no,7,3
主流,2,compound,no,7,2
主管,2,compound,no,5|7,2
主要,2,compound,no,2|3|4|5|7,2
主观,2,compound,no,5|7,2
主角,2,compound,no,7,2
主题,2,compound,no,4|5|7,2
举,1,single,no,2|3|4|5|7,1
举办,2,compound,no,3|4|5|7,2
举动,2,compound,no,5|7,2
举手,2,compound,no,2|3|4|5|7,2
举行,2,compound,no,2|3|4|5|7,2
久,1,single,no,3|4|5|7,1
义务,2,compound,no,4|5|7,2
之一,2,compound,no,4|5|7,2
之下,2,compound,no,5|7,2
之中,2,compound,no,5|7,2
之内,2,compound,no,5|7,2
之前,2,compound,no,4|5|7,2
之后,2,compound,no,4|5|7,2
之外,2,compound,no,5|7,2
之类,2,compound,no,7,2
之间,2,compound,no,4|5|7,2
乌云,2,compound,no,7,2
乐,1,single,no,3|4|5|7,1
乐曲,2,compound,no,7,2
乐观,2,compound,no,3|4|5|7,2
乐趣,2,compound,no,4|5|7,2
乐队,2,compound,no,3|4|5|7,2
乘,1,single,no,5|7,1
乘坐,2,compound,no,5|7,2
乘客,2,compound,no,5|7,2
乘车,2,compound,no,5|7,2
乙,1,single,no,5|7,1
九,1,single,no,1|2|3|4|5|7,1
也,1,single,no,1|2|3|4|5|7,1
也好,2,compound,no,5|7,2
也许,2,compound,no,2|3|4|5|7,2
习惯,2,compound,no,2|3|4|5|7,2
乡,1,single,no,5|7,1
乡村,2,compound,no,5|7,2
书,1,single,no,1|2|3|4|5|7,1
书包,2,compound,no,1|2|3|4|5|7,2
书店,2,compound,no,1|2|3|4|5|7,2
书房,2,compound,no,7,2
书架,2,compound,no,3|4|5|7,2
书柜,2,compound,no,5|7,2
