simplified,vietnamese,pinyin,english,hsk_level
阿姨,,ā yí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child),4
啊,,ā,interjection of surprise; Ah!; Oh!,4
矮,,ǎi,low; short (in length),4
矮小,,ǎi xiǎo,short and small; low and small; undersized,4
爱,,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),4
爱国,,ài guó,to love one's country; patriotic,4
爱好,,ài hào,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby,4
爱护,,ài hù,to cherish; to treasure; to take care of; to love and protect,4
爱情,,ài qíng,romance; love (romantic),4
爱人,,ài ren,spouse (PRC); lover (non-PRC),4
爱心,,ài xīn,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)",4
安,,Ān,surname An,4
安静,,ān jìng,quiet; peaceful; calm,4
安排,,ān pái,to arrange; to plan; to set up; arrangements; plans,4
安全,,ān quán,safe; secure; safety; security,4
安置,,ān zhì,to find a place for; to help settle down; to arrange for; to get into bed; placement,4
安装,,ān zhuāng,to install; to erect; to fix; to mount; installation,4
按,,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,4
按时,,àn shí,on time; before deadline; on schedule,4
按照,,àn zhào,according to; in accordance with; in the light of; on the basis of,4
暗,,àn,variant of 暗,4
暗示,,àn shì,to hint; to suggest; hint; suggestion,4
八,,bā,eight; 8,4
把,,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})",4
把握,,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),4
爸,,bà,father; dad; pa; papa,4
爸爸,,bà ba,(coll.) father; dad,4
巴士,,bā shì,bus (loanword); motor coach,4
吧,,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",4
白,,Bái,surname Bai,4
白菜,,bái cài,Chinese cabbage; pak choi,4
白色,,bái sè,white; fig. reactionary; anti-communist,4
白天,,bái tiān,daytime; during the day; day,4
百,,Bǎi,surname Bai,4
百货,,bǎi huò,general merchandise,4
摆,,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,4
摆动,,bǎi dòng,to sway; to swing; to move back and forth; to oscillate,4
摆脱,,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,4
败,,bài,to defeat; to damage; to lose (to an opponent); to fail; to wither,4
班,,Bān,surname Ban,4
班级,,bān jí,class (group of students); grade (in school),4
班长,,bān zhǎng,class monitor; squad leader; team leader,4
搬,,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,4
搬家,,bān jiā,to move house; to relocate; to remove (sth),4
板,,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious,4
办,,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with,4
办法,,bàn fǎ,means; method; way (of doing sth),4
办公室,,bàn gōng shì,office; business premises; bureau,4
办理,,bàn lǐ,to handle; to transact; to conduct,4
办事,,bàn shì,to handle (affairs); to work,4
半,,bàn,half; semi-; incomplete; (after a number) and a half,4
半年,,bàn nián,half a year,4
半天,,bàn tiān,half of the day; a long time; quite a while; midair,4
半夜,,bàn yè,midnight; in the middle of the night,4
帮,,bāng,old variant of 帮,4
帮忙,,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,4
帮助,,bāng zhù,assistance; aid; to help; to assist,4
包,,Bāo,surname Bao,4
包裹,,bāo guǒ,to wrap up; to bind up; bundle; parcel; package,4
包含,,bāo hán,to contain; to embody; to include,4
包括,,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,4
包子,,bāo zi,bao (steamed stuffed bun),4
薄,,Bó,surname Bo,4
宝,,bǎo,variant of 宝,4
宝宝,,bǎo bao,darling; baby,4
宝贝,,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,4
宝贵,,bǎo guì,valuable; precious; to value; to treasure; to set store by,4
宝石,,bǎo shí,precious stone; gem,4
饱,,bǎo,to eat till full; satisfied,4
保,,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚,4
保安,,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard,4
保持,,bǎo chí,to keep; to maintain; to hold; to preserve,4
保存,,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),4
保护,,bǎo hù,to protect; to defend; to safeguard; protection,4
保留,,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,4
保密,,bǎo mì,to keep sth confidential; to maintain secrecy,4
保守,,bǎo shǒu,conservative; to guard; to keep,4
保险,,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to,4
保证,,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge,4
报,,bào,to announce; to inform; report; newspaper; recompense; revenge,4
报到,,bào dào,to report for duty; to check in; to register,4
报道,,bào dào,to report (news); report,4
报告,,bào gào,to inform; to report; to make known; report; speech; talk; lecture,4
报名,,bào míng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,4
报纸,,bào zhǐ,newspaper; newsprint,4
抱,,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,4
杯,,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",4
杯子,,bēi zi,cup; glass,4
北,,běi,north; (classical) to be defeated,4
北边,,běi biān,north; north side; northern part; to the north of,4
北部,,běi bù,northern part,4
北方,,běi fāng,north; the northern part a country; China north of the Yellow River,4
北京,,Běi jīng,"Beijing, capital of the People's Republic of China",4
背,,bēi,variant of 背,4
背后,,bèi hòu,behind; at the back; in the rear; behind sb's back,4
背景,,bèi jǐng,background; backdrop; context; (fig.) powerful backer,4
倍,,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",4
被,,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)",4
被迫,,bèi pò,to be compelled; to be forced,4
被子,,bèi zi,quilt,4
本,,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",4
本科,,běn kē,undergraduate course; undergraduate (attributive),4
本来,,běn lái,original; originally; at first; it goes without saying; of course,4
本领,,běn lǐng,skill; ability; capability,4
本事,,běn shì,source material; original story,4
本子,,běn zi,"book; notebook; Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""; edition",4
笨,,bèn,stupid; foolish; silly; slow-witted; clumsy,4
比,,Bǐ,Belgium; Belgian; abbr. for 比利时,4
比分,,bǐ fēn,score,4
比较,,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison,4
比例,,bǐ lì,proportion; scale,4
比如,,bǐ rú,for example; for instance; such as,4
比如说,,bǐ rú shuō,for example,4
比赛,,bǐ sài,competition (sports etc); match; to compete,4
笔,,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals",4
笔记,,bǐ jì,to take down (in writing); notes; a type of literature consisting mainly of short sketches,4
笔记本,,bǐ jì běn,notebook (stationery); notebook (computing),4
必然,,bì rán,inevitable; certain; necessity,4
必须,,bì xū,to have to; must; compulsory; necessarily,4
必要,,bì yào,necessary; essential; indispensable; required,4
毕业,,bì yè,graduation; to graduate; to finish school,4
毕业生,,bì yè shēng,graduate,4
避,,bì,to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from,4
避免,,bì miǎn,to avert; to prevent; to avoid; to refrain from,4
边,,biān,side; edge; margin; border; boundary; simultaneously,4
编,,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up,4
变,,biàn,to change; to become different; to transform; to vary; rebellion,4
变成,,biàn chéng,to change into; to turn into; to become,4
变化,,biàn huà,(intransitive) to change; to vary; change; variation,4
变为,,biàn wéi,to change into,4
便宜,,biàn yí,convenient,4
遍,,biàn,variant of 遍,4
辩论,,biàn lùn,debate; argument; to argue over,4
标题,,biāo tí,title; heading; headline; caption; subject,4
标志,,biāo zhì,sign; mark; symbol; logo; to symbolize; to indicate; to mark,4
标准,,biāo zhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard,4
表,,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),4
表达,,biǎo dá,to express; to convey,4
表格,,biǎo gé,form; table,4
表面,,biǎo miàn,surface; face; outside; appearance,4
表明,,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,4
表情,,biǎo qíng,(facial) expression; to express one's feelings,4
表现,,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior,4
表演,,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate,4
表扬,,biǎo yáng,to praise; to commend,4
别,,Bié,surname Bie,4
别的,,bié de,else; other,4
别人,,bié ren,other people; others; other person,4
冰,,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine,4
冰箱,,bīng xiāng,icebox; freezer cabinet; refrigerator,4
冰雪,,bīng xuě,ice and snow,4
兵,,bīng,soldiers; a force; an army; weapons; arms; military; warlike,4
