simplified,vietnamese,pinyin,english,hsk_level
波动,,bō dòng,to undulate; to fluctuate; wave motion; rise and fall,6
波浪,,bō làng,wave,6
玻璃,,bō li,glass; (slang) male homosexual,6
播,,bō,to sow; to scatter; to spread; to broadcast; Taiwan pr. [bò],6
播出,,bō chū,to broadcast; to air (a TV program etc),6
播放,,bō fàng,to broadcast; to transmit (by radio or TV),6
博客,,bó kè,blog (loanword); weblog; blogger,6
博览会,,bó lǎn huì,exposition; international fair,6
博士,,bó shì,doctor; court academician (in feudal China); Ph.D.,6
博物馆,,bó wù guǎn,museum,6
补,,bǔ,to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement,6
补偿,,bǔ cháng,to compensate; to make up,6
补充,,bǔ chōng,to replenish; to supplement; to complement; additional; supplementary,6
补考,,bǔ kǎo,to sit for a makeup exam; to resit an exam; makeup exam; resit,6
补课,,bǔ kè,to make up missed lesson; to reschedule a class,6
补贴,,bǔ tiē,to subsidize; subsidy; allowance; to supplement (one's salary etc); benefit,6
补习,,bǔ xí,to take extra lessons in a cram school or with a private tutor,6
补助,,bǔ zhù,to subsidize; subsidy; allowance,6
捕,,bǔ,to catch; to seize; to capture,6
不,,bù,no; not so; (bound form) not; un-,6
不安,,bù ān,unpeaceful; unstable; uneasy; disturbed; restless; worried,6
不必,,bù bì,need not; does not have to; not necessarily,6
不便,,bù biàn,inconvenient; inappropriate; unsuitable; short of cash,6
不曾,,bù céng,hasn't yet; hasn't ever,6
不成,,bù chéng,won't do; unable to; (at the end of a rhetorical question) can that be?,6
不错,,bù cuò,correct; right; not bad; pretty good,6
不大,,bù dà,not very; not too; not often,6
不但,,bù dàn,not only (... but also ...),6
不得不,,bù dé bù,have no choice or option but to; cannot but; have to; can't help it; can't avoid,6
不得了,,bù dé liǎo,desperately serious; disastrous; extremely; exceedingly,6
不断,,bù duàn,unceasing; uninterrupted; continuous; constant,6
不对,,bù duì,incorrect; wrong; amiss; abnormal; queer,6
不敢当,,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me,6
不够,,bù gòu,not enough; insufficient; inadequate,6
不顾,,bù gù,in spite of; regardless of,6
不管,,bù guǎn,not to be concerned; regardless of; no matter,6
不光,,bù guāng,not the only one; not only,6
不过,,bù guò,only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival),6
不好意思,,bù hǎo yì si,to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb),6
不见,,bù jiàn,not to see; not to meet; to have disappeared; to be missing,6
不仅,,bù jǐn,"not just; not limited to; (as a correlative conjunction) not only (..., but also ...)",6
不仅仅,,bù jǐn jǐn,not only; not just,6
不禁,,bù jīn,can't help (doing sth); can't refrain from,6
不久,,bù jiǔ,not long (after); before too long; soon; soon after,6
不客气,,bù kè qi,you're welcome; don't mention it; impolite; rude; blunt,6
不利,,bù lì,unfavorable; disadvantageous; harmful; detrimental,6
不良,,bù liáng,bad; harmful; unhealthy,6
不料,,bù liào,unexpectedly; to one's surprise,6
不论,,bù lùn,"whatever; no matter what (who, how etc); regardless of; not to discuss",6
不满,,bù mǎn,resentful; discontented; dissatisfied,6
不免,,bù miǎn,inevitably,6
不耐烦,,bù nài fán,impatient; to lose patience,6
不能不,,bù néng bù,have to; cannot but,6
不然,,bù rán,not so; no; or else; otherwise; if not; How about ...?,6
不如,,bù rú,not equal to; not as good as; inferior to; it would be better to,6
不少,,bù shǎo,many; a lot; not few,6
不时,,bù shí,from time to time; now and then; occasionally; frequently,6
不太,,bù tài,Not too,6
不停,,bù tíng,incessant,6
不通,,bù tōng,to be obstructed; to be blocked up; to be impassable; to make no sense; to be illogical,6
不同,,bù tóng,different; distinct; not the same; not alike,6
不行,,bù xíng,won't do; be out of the question; be no good; not work; not be capable,6
不幸,,bù xìng,misfortune; adversity; unfortunate; sad; unfortunately,6
不许,,bù xǔ,not to allow; must not; can't,6
不要,,bù yào,don't!; must not,6
不要紧,,bù yào jǐn,"unimportant; not serious; it doesn't matter; never mind; it looks all right, but",6
不一定,,bù yī dìng,not necessarily; maybe,6
不一会儿,,bù yīhuǐr5,Take a short while,6
不易,,bù yì,not easy to do sth; difficult; unchanging,6
不用,,bù yòng,need not,6
不再,,bù zài,no more; no longer,6
不在乎,,bù zài hu,not to care,6
不怎么,,bù zěn me,not very; not particularly,6
不怎么样,,bù zěn me yàng,not up to much; very indifferent; nothing great about it; nothing good to be said about it,6
不值,,bù zhí,not worth,6
不止,,bù zhǐ,incessantly; without end; more than; not limited to,6
不至于,,bù zhì yú,unlikely to go so far as to; not as bad as,6
不足,,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,6
布,,bù,variant of 布; to announce; to spread,6
布满,,bù mǎn,to be covered with; to be filled with,6
布置,,bù zhì,to put in order; to arrange; to decorate; to fix up; to deploy,6
步,,Bù,surname Bu,6
步行,,bù xíng,to go on foot; to walk,6
部,,bù,"ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc",6
部队,,bù duì,army; armed forces; troops; force; unit,6
部分,,bù fen,part; share; section; piece,6
部门,,bù mén,department; branch; section; division,6
部位,,bù wèi,"part (esp. of the body, but also of a vegetable (e.g. the root), or a garment (e.g. the sleeve) etc)",6
部长,,bù zhǎng,head of a (government etc) department; section chief; section head; secretary; minister,6
擦,,cā,"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)",6
猜,,cāi,to guess,6
猜测,,cāi cè,to guess; to conjecture; to surmise,6
才,,cái,ability; talent; sb of a certain type; a capable individual; then and only then; just now; (before an expression of quantity) only,6
才能,,cái néng,talent; ability; capacity,6
材料,,cái liào,(raw) material; data; (fig.) person who has the potential to do the job,6
财产,,cái chǎn,property; assets; estate,6
财富,,cái fù,wealth; riches,6
裁判,,cái pàn,judgment; to referee; umpire; judge; referee,6
采访,,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,6
采购,,cǎi gòu,to procure (for an enterprise etc); to purchase,6
采纳,,cǎi nà,to accept; to adopt,6
采取,,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",6
采用,,cǎi yòng,to adopt; to employ; to use,6
彩票,,cǎi piào,lottery ticket,6
彩色,,cǎi sè,color; multicolored,6
踩,,cǎi,variant of 踩,6
菜,,cài,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,6
菜单,,cài dān,menu,6
参观,,cān guān,to look around; to tour; to visit,6
参加,,cān jiā,to participate; to take part; to join,6
参考,,cān kǎo,consultation; reference; to consult; to refer,6
参赛,,cān sài,to compete; to take part in a competition,6
参与,,cān yù,to participate (in sth),6
参展,,cān zhǎn,to exhibit at or take part in a trade show etc,6
餐,,cān,meal; to eat; classifier for meals,6
餐馆,,cān guǎn,restaurant,6
餐厅,,cān tīng,dining hall; dining room; restaurant,6
餐饮,,cān yǐn,food and beverage; catering; repast,6
残疾,,cán jí,disabled; handicapped; deformity on a person or animal,6
残疾人,,cán jí rén,disabled person,6
残酷,,cán kù,cruel; cruelty,6
惨,,cǎn,miserable; wretched; cruel; inhuman; disastrous; tragic; dim; gloomy,6
仓库,,cāng kù,depot; storehouse; warehouse,6
藏,,Zàng,Tibet; abbr. for Xizang or Tibet Autonomous Region 藏,6
操场,,cāo chǎng,playground; sports field; drill ground,6
操纵,,cāo zòng,to operate; to control; to rig; to manipulate,6
操作,,cāo zuò,to work; to operate; to manipulate,6
草,,cǎo,variant of 草,6
草地,,cǎo dì,lawn; meadow; sod; turf,6
草原,,cǎo yuán,grassland; prairie,6
册,,cè,book; booklet; classifier for books,6
侧,,cè,the side; to incline towards; to lean; inclined; lateral; side,6
厕所,,cè suǒ,toilet; lavatory,6
测,,cè,to survey; to measure; to conjecture,6
测定,,cè dìng,to determine (by measuring or surveying),6
测量,,cè liáng,survey; to measure; to gauge; to determine,6
测试,,cè shì,to test (machinery etc); to test (a person's skill in a particular area); a test; (computing) beta (version of software),6
策略,,cè lu:è,strategy; tactics; crafty; adroit,6
策划,,cè huà,to plot; to scheme; to bring about; to engineer; planning; producer; planner,6
层,,céng,to pile on top of one another; layer; stratum; floor (of a building); story; (math.) sheaf; classifier for layers,6
层次,,céng cì,layer; level; gradation; arrangement of ideas; (a person's) standing,6
层面,,céng miàn,"aspect; facet; level (political, psychological, spiritual etc); (geology) bedding plane",6
曾,,Zēng,surname Zeng,6
曾经,,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),6
叉,,chā,"fork; pitchfork; prong; pick; cross; intersect; ""X""",6
叉子,,chā zi,fork,6
插,,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,6
查,,Zhā,surname Zha,6
查出,,chá chū,to find out; to discover,6
查看,,chá kàn,to look over; to examine; to check up; to ferret out,6
查询,,chá xún,to check; to inquire; to consult (a document etc); inquiry; query,6
茶,,chá,tea; tea plant,6
茶叶,,chá yè,tea; tea leaves,6
差,,chā,difference; discrepancy; (math.) difference (amount remaining after a subtraction); (literary) a little; somewhat; slightly,6
差别,,chā bié,difference; distinction; disparity,6
差不多,,chà bu duō,almost; nearly; more or less; about the same; good enough; not bad,6
差点儿,,chà diǎn r,erhua variant of 差点,6
差距,,chā jù,disparity; gap,6
差一点儿,,chà yī diǎn r,erhua variant of 差一点,6
差异,,chā yì,difference; discrepancy,6
拆,,chāi,to tear open; to tear down; to tear apart; to open,6
拆除,,chāi chú,to tear down; to demolish; to dismantle; to remove,6
拆迁,,chāi qiān,to demolish a building and relocate the inhabitants,6
产量,,chǎn liàng,output,6
产品,,chǎn pǐn,goods; merchandise; product,6
产生,,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate,6
产业,,chǎn yè,industry; estate; property; industrial,6
昌盛,,chāng shèng,prosperous,6
肠,,cháng,intestines,6
尝,,cháng,to taste; to try (food); to experience; (literary) ever; once,6
尝试,,cháng shì,to try; to attempt,6
常,,Cháng,surname Chang,6
常常,,cháng cháng,frequently; often,6
常规,,cháng guī,code of conduct; conventions; common practice; routine (medical procedure etc),6
常见,,cháng jiàn,commonly seen; common; to see sth frequently,6
常年,,cháng nián,all year round; for years on end; average year,6
常识,,cháng shí,common sense; general knowledge,6
常用,,cháng yòng,in common usage,6
厂,,hǎn,"""cliff"" radical in Chinese characters (Kangxi radical 27), occurring in 原, 历, 压 etc",6
厂商,,chǎng shāng,manufacturer; producer,6
厂长,,chǎng zhǎng,factory director,6
场,,cháng,"threshing floor; classifier for events and happenings: spell, episode, bout",6
场地,,chǎng dì,space; site; place; sports pitch,6
场馆,,chǎng guǎn,sporting venue; arena,6
场合,,chǎng hé,situation; occasion; context; setting; location; venue,6
场景,,chǎng jǐng,scene; scenario; situation; setting,6
场面,,chǎng miàn,scene; spectacle; occasion; situation,6
场所,,chǎng suǒ,location; place,6
畅通,,chàng tōng,unimpeded; free-flowing; straight path; unclogged; move without obstruction,6
倡导,,chàng dǎo,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought),6
唱,,chàng,to sing; to call loudly; to chant,6
唱歌,,chàng gē,to sing a song,6
唱片,,chàng piàn,gramophone record; LP; music CD; musical album,6
抄,,chāo,to make a copy; to plagiarize; to search and seize; to raid; to grab; to go off with; to take a shortcut; to make a turning move; to fold one's arms,6
抄写,,chāo xiě,to copy; to transcribe,6
超,,chāo,to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-,6
超出,,chāo chū,to exceed; to overstep; to go too far; to encroach,6
超过,,chāo guò,to surpass; to exceed; to outstrip,6
超级,,chāo jí,super-; ultra-; hyper-,6
超市,,chāo shì,supermarket (abbr. for 超级市场),6
超越,,chāo yuè,to surpass; to exceed; to transcend,6
朝,,Cháo,abbr. for 朝鲜 Korea,6
潮,,cháo,tide; damp; moist; humid; fashionable; trendy; (coll.) inferior; substandard,6
潮流,,cháo liú,tide; current; trend,6
潮湿,,cháo shī,damp; moist,6
吵,,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,6
吵架,,chǎo jià,to quarrel; to have a row; quarrel,6
炒,,chǎo,to sauté; to stir-fry; to speculate; to hype; to fire (sb),6
炒股,,chǎo gǔ,(coll.) to speculate in stocks,6
炒作,,chǎo zuò,to hype; to promote (in the media),6
车,,Chē,surname Che,6
车号,,chē hào,"vehicle number (license plate number, taxi number, bus number, train car number)",6
车辆,,chē liàng,vehicle,6
车牌,,chē pái,license plate,6
车票,,chē piào,ticket (for a bus or train),6
车上,,chē shàng,Car,6
车展,,chē zhǎn,motor show,6
车站,,chē zhàn,rail station; bus stop,6
