simplified,vietnamese,pinyin,english,hsk_level
阿姨,,ā yí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child),6
啊,,ā,interjection of surprise; Ah!; Oh!,6
挨,,āi,in order; in sequence; close to; adjacent to,6
挨打,,ái dǎ,to take a beating; to get thrashed; to come under attack,6
挨着,,āi zhe,near,6
矮,,ǎi,low; short (in length),6
矮小,,ǎi xiǎo,short and small; low and small; undersized,6
爱,,ài,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),6
爱国,,ài guó,to love one's country; patriotic,6
爱好,,ài hào,to like; to be fond of; to take pleasure in; to be keen on; interest; hobby,6
爱护,,ài hù,to cherish; to treasure; to take care of; to love and protect,6
爱情,,ài qíng,romance; love (romantic),6
爱人,,ài ren,spouse (PRC); lover (non-PRC),6
爱心,,ài xīn,"compassion; kindness; care for others; love; charity (bazaar, golf day etc); heart (the symbol ♥)",6
安,,Ān,surname An,6
安检,,ān jiǎn,security check (abbr. for 安全检查); to do a security check,6
安静,,ān jìng,quiet; peaceful; calm,6
安排,,ān pái,to arrange; to plan; to set up; arrangements; plans,6
安全,,ān quán,safe; secure; safety; security,6
安慰,,ān wèi,to comfort; to console,6
安置,,ān zhì,to find a place for; to help settle down; to arrange for; to get into bed; placement,6
安装,,ān zhuāng,to install; to erect; to fix; to mount; installation,6
岸,,àn,variant of 岸,6
岸上,,àn shàng,ashore; on the riverbank,6
按,,àn,to press; to push; to leave aside or shelve; to control; to restrain; to keep one's hand on; to check or refer to; according to; in the light of; (of an editor or author) to make a comment,6
按摩,,àn mó,massage; to massage,6
按时,,àn shí,on time; before deadline; on schedule,6
按照,,àn zhào,according to; in accordance with; in the light of; on the basis of,6
暗,,àn,variant of 暗,6
暗示,,àn shì,to hint; to suggest; hint; suggestion,6
八,,bā,eight; 8,6
拔,,bá,to pull up; to pull out; to draw out by suction; to select; to pick; to stand out (above level); to surpass; to seize,6
把,,bǎ,"to hold; to grasp; to hold a baby in position to help it urinate or defecate; handlebar; classifier: handful, bundle, bunch; classifier for things with handles; (used to put the object before the verb: 把 + {noun} + {verb})",6
把握,,bǎ wò,to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome),6
爸,,bà,father; dad; pa; papa,6
爸爸,,bà ba,(coll.) father; dad,6
巴士,,bā shì,bus (loanword); motor coach,6
吧,,bā,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 贴吧",6
罢工,,bà gōng,a strike; to go on strike,6
罢了,,bà le,"a modal particle indicating (that's all, only, nothing much)",6
白,,Bái,surname Bai,6
白菜,,bái cài,Chinese cabbage; pak choi,6
白酒,,bái jiǔ,"baijiu, a spirit usually distilled from sorghum; (Tw) white wine (abbr. for 酒)",6
白领,,bái lǐng,white-collar; white-collar worker,6
白色,,bái sè,white; fig. reactionary; anti-communist,6
白天,,bái tiān,daytime; during the day; day,6
百,,Bǎi,surname Bai,6
百分点,,bǎi fēn diǎn,percentage point,6
百货,,bǎi huò,general merchandise,6
摆,,bǎi,to arrange; to exhibit; to move to and fro; a pendulum,6
摆动,,bǎi dòng,to sway; to swing; to move back and forth; to oscillate,6
摆脱,,bǎi tuō,to break away from; to cast off (old ideas etc); to get rid of; to break away (from); to break out (of); to free oneself from; to extricate oneself,6
败,,bài,to defeat; to damage; to lose (to an opponent); to fail; to wither,6
拜访,,bài fǎng,to pay a visit; to call on,6
班,,Bān,surname Ban,6
班级,,bān jí,class (group of students); grade (in school),6
班长,,bān zhǎng,class monitor; squad leader; team leader,6
搬,,bān,to move (i.e. relocate oneself); to move (sth relatively heavy or bulky); to shift; to copy indiscriminately,6
搬家,,bān jiā,to move house; to relocate; to remove (sth),6
板,,bǎn,board; plank; plate; shutter; table tennis bat; clappers (music); accented beat in Chinese music; hard; stiff; to stop smiling or look serious,6
版,,bǎn,a register; block of printing; edition; version; page,6
办,,bàn,to do; to manage; to handle; to go about; to run; to set up; to deal with,6
办法,,bàn fǎ,means; method; way (of doing sth),6
办公,,bàn gōng,to handle official business; to work (esp. in an office),6
办公室,,bàn gōng shì,office; business premises; bureau,6
办理,,bàn lǐ,to handle; to transact; to conduct,6
办事,,bàn shì,to handle (affairs); to work,6
办事处,,bàn shì chù,office; agency,6
办学,,bàn xué,to run a school,6
半,,bàn,half; semi-; incomplete; (after a number) and a half,6
半决赛,,bàn jué sài,semifinals,6
半年,,bàn nián,half a year,6
半天,,bàn tiān,half of the day; a long time; quite a while; midair,6
半夜,,bàn yè,midnight; in the middle of the night,6
扮演,,bàn yǎn,to play the role of; to act,6
帮,,bāng,old variant of 帮,6
帮忙,,bāng máng,to help; to lend a hand; to do a favor; to do a good turn,6
帮助,,bāng zhù,assistance; aid; to help; to assist,6
傍晚,,bàng wǎn,in the evening; when night falls; towards evening; at night fall; at dusk,6
棒,,bàng,stick; club; cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race,6
包,,Bāo,surname Bao,6
包裹,,bāo guǒ,to wrap up; to bind up; bundle; parcel; package,6
包含,,bāo hán,to contain; to embody; to include,6
包括,,bāo kuò,to comprise; to include; to involve; to incorporate; to consist of,6
包围,,bāo wéi,to surround; to encircle; to hem in,6
包装,,bāo zhuāng,to pack; to package; to wrap; packaging,6
包子,,bāo zi,bao (steamed stuffed bun),6
薄,,Bó,surname Bo,6
薄弱,,bó ruò,weak; frail,6
宝,,bǎo,variant of 宝,6
宝宝,,bǎo bao,darling; baby,6
宝贝,,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,6
宝贵,,bǎo guì,valuable; precious; to value; to treasure; to set store by,6
宝石,,bǎo shí,precious stone; gem,6
饱,,bǎo,to eat till full; satisfied,6
保,,Bǎo,Bulgaria; Bulgarian; abbr. for 保加利亚,6
保安,,bǎo ān,to ensure public security; to ensure safety (for workers engaged in production); public security; security guard,6
保持,,bǎo chí,to keep; to maintain; to hold; to preserve,6
保存,,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),6
保护,,bǎo hù,to protect; to defend; to safeguard; protection,6
保健,,bǎo jiàn,health protection; health care; to maintain in good health,6
保留,,bǎo liú,to keep; to retain; to have reservations (about sth); to hold back (from saying sth); to put aside for later,6
保密,,bǎo mì,to keep sth confidential; to maintain secrecy,6
保守,,bǎo shǒu,conservative; to guard; to keep,6
保卫,,bǎo wèi,to defend; to safeguard,6
保险,,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to,6
保养,,bǎo yǎng,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,6
保证,,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge,6
报,,bào,to announce; to inform; report; newspaper; recompense; revenge,6
报答,,bào dá,to repay; to requite,6
报到,,bào dào,to report for duty; to check in; to register,6
报道,,bào dào,to report (news); report,6
报告,,bào gào,to inform; to report; to make known; report; speech; talk; lecture,6
报警,,bào jǐng,to sound an alarm; to report sth to the police,6
报刊,,bào kān,newspapers and periodicals; the press,6
报考,,bào kǎo,to enter oneself for an examination,6
报名,,bào míng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,6
报纸,,bào zhǐ,newspaper; newsprint,6
抱,,bào,to hold; to carry (in one's arms); to hug; to embrace; to surround; to cherish; (coll.) (of clothes) to fit nicely,6
抱歉,,bào qiàn,to be sorry; to feel apologetic; sorry!,6
抱怨,,bào yuàn,to complain; to grumble; to harbor a complaint; to feel dissatisfied,6
暴风雨,,bào fēng yǔ,rainstorm; storm; tempest,6
暴力,,bào lì,violence; force; violent,6
暴露,,bào lù,to expose; to reveal; to lay bare; also pr. [pù lù],6
暴雨,,bào yǔ,torrential rain; rainstorm,6
爆,,bào,to explode or burst; to quick fry or quick boil,6
爆发,,bào fā,to break out; to erupt; to explode; to burst out,6
爆炸,,bào zhà,explosion; to explode; to blow up; to detonate,6
杯,,bēi,"cup; trophy cup; classifier for certain containers of liquids: glass, cup",6
杯子,,bēi zi,cup; glass,6
悲惨,,bēi cǎn,miserable; tragic,6
悲剧,,bēi jù,tragedy,6
悲伤,,bēi shāng,sad; sorrowful,6
北,,běi,north; (classical) to be defeated,6
北边,,běi biān,north; north side; northern part; to the north of,6
北部,,běi bù,northern part,6
北方,,běi fāng,north; the northern part a country; China north of the Yellow River,6
北极,,běi jí,the North Pole; the Arctic Pole; the north magnetic pole,6
北京,,Běi jīng,"Beijing, capital of the People's Republic of China",6
背,,bēi,variant of 背,6
背包,,bēi bāo,knapsack; rucksack; infantry pack; field pack; blanket roll,6
背后,,bèi hòu,behind; at the back; in the rear; behind sb's back,6
背景,,bèi jǐng,background; backdrop; context; (fig.) powerful backer,6
背心,,bèi xīn,"sleeveless garment (vest, waistcoat, singlet, tank top etc)",6
背着,,bēi zhe,carrying on one's back,6
倍,,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",6
被,,bèi,"quilt; to cover (with); (literary) to suffer (a misfortune); used to indicate passive voice (placed before the doer of the action like ""by"" in English passive-voice sentences, or, if the doer is not mentioned, before the verb); (since c. 2009) (sarcastic or jocular) used to indicate that the following word should be regarded as being in air quotes (as in 被旅游 to ""go on a trip"", for example)",6
被动,,bèi dòng,passive,6
被告,,bèi gào,defendant,6
被迫,,bèi pò,to be compelled; to be forced,6
被子,,bèi zi,quilt,6
辈,,bèi,lifetime; generation; group of people; class; classifier for generations; (literary) classifier for people,6
奔跑,,bēn pǎo,to run,6
本,,běn,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",6
本地,,běn dì,local; this locality,6
本科,,běn kē,undergraduate course; undergraduate (attributive),6
本来,,běn lái,original; originally; at first; it goes without saying; of course,6
本领,,běn lǐng,skill; ability; capability,6
本期,,běn qī,the current period; this term (usually in finance),6
本人,,běn rén,I; me; myself; oneself; yourself; himself; herself; the person concerned,6
本身,,běn shēn,itself; in itself; per se,6
本事,,běn shì,source material; original story,6
本土,,běn tǔ,one's native country; native; local; metropolitan territory,6
本质,,běn zhì,essence; nature; innate character; intrinsic quality,6
本子,,běn zi,"book; notebook; Japanese-style self-published comic (esp. an erotic one), aka ""dōjinshi""; edition",6
笨,,bèn,stupid; foolish; silly; slow-witted; clumsy,6
逼,,bī,variant of 逼; to compel; to pressure,6
鼻子,,bí zi,nose,6
比,,Bǐ,Belgium; Belgian; abbr. for 比利时,6
比方,,bǐ fang,analogy; instance; for instance,6
比分,,bǐ fēn,score,6
比较,,bǐ jiào,to compare; to contrast; comparatively; relatively; quite; comparison,6
比例,,bǐ lì,proportion; scale,6
比如,,bǐ rú,for example; for instance; such as,6
比如说,,bǐ rú shuō,for example,6
比赛,,bǐ sài,competition (sports etc); match; to compete,6
比重,,bǐ zhòng,proportion; specific gravity,6
彼此,,bǐ cǐ,each other; one another,6
笔,,bǐ,"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals",6
笔记,,bǐ jì,to take down (in writing); notes; a type of literature consisting mainly of short sketches,6
笔记本,,bǐ jì běn,notebook (stationery); notebook (computing),6
笔试,,bǐ shì,written examination; paper test (for an applicant),6
必,,bì,certainly; must; will; necessarily,6
必将,,bì jiāng,inevitably,6
必然,,bì rán,inevitable; certain; necessity,6
必修,,bì xiū,(of an academic course) required; compulsory,6
必须,,bì xū,to have to; must; compulsory; necessarily,6
必需,,bì xū,to need; to require; essential; indispensable,6
必要,,bì yào,necessary; essential; indispensable; required,6
毕竟,,bì jìng,after all; all in all; when all is said and done; in the final analysis,6
毕业,,bì yè,graduation; to graduate; to finish school,6
毕业生,,bì yè shēng,graduate,6
闭,,bì,to close; to stop up; to shut; to obstruct,6
闭幕,,bì mù,the curtain falls; lower the curtain; to come to an end (of a meeting),6
闭幕式,,bì mù shì,closing ceremony,6
避,,bì,to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from,6
避免,,bì miǎn,to avert; to prevent; to avoid; to refrain from,6
边,,biān,side; edge; margin; border; boundary; simultaneously,6
边境,,biān jìng,frontier; border,6
边缘,,biān yuán,edge; fringe; verge; brink; periphery; marginal; borderline,6
编,,biān,to weave; to plait; to organize; to group; to arrange; to edit; to compile; to write; to compose; to fabricate; to make up,6
编辑,,biān jí,to edit; to compile; editor; compiler,6
编制,,biān zhì,to establish (a unit or department); staffing structure (excluding temporary and casual staff),6
扁,,Piān,surname Pian,6
变,,biàn,to change; to become different; to transform; to vary; rebellion,6
变成,,biàn chéng,to change into; to turn into; to become,6
变动,,biàn dòng,to change; to fluctuate; change; fluctuation,6
变更,,biàn gēng,to change; to alter; to modify,6
变化,,biàn huà,(intransitive) to change; to vary; change; variation,6
变换,,biàn huàn,to transform; to convert; to vary; to alternate; a transformation,6
变为,,biàn wéi,to change into,6
变形,,biàn xíng,to become deformed; to change shape; to morph,6
便,,biàn,plain; informal; suitable; convenient; opportune; to urinate or defecate; equivalent to 就: then; in that case; even if; soon afterwards,6
便利,,biàn lì,convenient; easy; to facilitate,6
便是,,biàn shì,(emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as,6
便条,,biàn tiáo,(informal) note,6
便宜,,biàn yí,convenient,6
便于,,biàn yú,easy to; convenient for,6
遍,,biàn,variant of 遍,6
遍地,,biàn dì,everywhere; all over,6
辩论,,biàn lùn,debate; argument; to argue over,6
标题,,biāo tí,title; heading; headline; caption; subject,6
标志,,biāo zhì,sign; mark; symbol; logo; to symbolize; to indicate; to mark,6
标准,,biāo zhǔn,standard; norm; criterion; (adjective) standard; good; correct; conforming to a standard,6
表,,biǎo,exterior surface; family relationship via females; to show (one's opinion); a model; a table (listing information); a form; a meter (measuring sth),6
表达,,biǎo dá,to express; to convey,6
表格,,biǎo gé,form; table,6
表面,,biǎo miàn,surface; face; outside; appearance,6
表面上,,biǎo miàn shang,outwardly; superficially; on the face of it,6
表明,,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,6
表情,,biǎo qíng,(facial) expression; to express one's feelings,6
表现,,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc); behavior,6
表演,,biǎo yǎn,play; show; performance; exhibition; to perform; to act; to demonstrate,6
表扬,,biǎo yáng,to praise; to commend,6
别,,Bié,surname Bie,6
别的,,bié de,else; other,6
别人,,bié ren,other people; others; other person,6
宾馆,,bīn guǎn,guesthouse; lodge; hotel,6
冰,,bīng,ice; to chill sth; (of an object or substance) to feel cold; (of a person) cold; unfriendly; (slang) methamphetamine,6
冰箱,,bīng xiāng,icebox; freezer cabinet; refrigerator,6
冰雪,,bīng xuě,ice and snow,6
兵,,bīng,soldiers; a force; an army; weapons; arms; military; warlike,6
饼,,bǐng,round flat cake; cookie; cake; pastry,6
饼干,,bǐng gān,biscuit; cracker; cookie,6
并,,bìng,and; furthermore; also; together with; (not) at all; simultaneously; to combine; to join; to merge,6
并且,,bìng qiě,and; besides; moreover; furthermore; in addition,6
病,,bìng,illness; disease; to fall ill; defect,6
病毒,,bìng dú,virus,6
病房,,bìng fáng,ward (of a hospital); sickroom,6
病情,,bìng qíng,state of an illness; patient's condition,6
病人,,bìng rén,sick person; patient; invalid,6
拨打,,bō dǎ,to call; to dial,6
